n_language,m_contract_name,n_company,m_pdf_url,m_link_template,Metadata?,n_signature_date,n_resources,m_country,n_country,n_company_jurisdictions,n_corporate_group,n_company_identifier,n_opencorporates_id,n_project_title,n_type_of_contract,n_license_concession_name,n_government_entities,contract_category
EN,"GAC, Annex 7 - Guinée, 2010",,LINK TO PDF DOCUMENT IN DROPBOX,LINK TO URL OF XLS FORMATED TEMPLATE IN DROPBOX,,,,,,,,,,,,,,OpenLandContracts
EN,"Transglobe, Yemen Co, - Yemen, 1997",,LINK TO PDF DOCUMENT IN DROPBOX,LINK TO URL OF XLS FORMATED TEMPLATE IN DROPBOX,,,,,,,,,,,,,,
EN,"AMC, Convention 2010 Avenant No 1 - Guinée",,LINK TO PDF DOCUMENT IN DROPBOX,LINK TO URL OF XLS FORMATED TEMPLATE IN DROPBOX,,,,,,,,,,,,,,
EN,"Blue Chip, Bloc25- Mauritania, 2007",,LINK TO PDF DOCUMENT IN DROPBOX,LINK TO URL OF XLS FORMATED TEMPLATE IN DROPBOX,,,,,,,,,,,,,,
,,Omo Valley Farm Cooperation PLC,https://www.dropbox.com/s/lfzkpzbdv0bjrai/Omo%20Valley%20%28Turkish%20investor%20-%20cotton%202012%29.pdf,https://www.dropbox.com/s/mxy5nfw4pff3je0/Omo%20Valley%20Farm%20Cooperation_Ethiopia.xlsx,Limited,,,,,,,,,,,,,
,,Saber Farms PLC,https://www.dropbox.com/s/wxydf0walo6nvb2/Saber%20Farms%20%28Indian%20invest%20-%20cotton%20and%20soy%202011%29.pdf,https://www.dropbox.com/s/xybjlc3en81fs6i/Saber%20Farms_Ethiopia.xlsx,Limited,,,,,,,,,,,,,
,,Verdanta Harvests PLC,https://www.dropbox.com/s/6nzrfq683pjtlae/Verdanta%20%28Indian%20invest%20-%20tea%202010%29.pdf,https://www.dropbox.com/s/xw9ct25k8o4xa6e/Verdanta%20Harvests_Ethiopia.xlsx,Limited,,,,,,,,,,,,,
,,ADA Commercial Inc.,https://www.dropbox.com/s/nptm6vrxs4mpesv/ADA%20Commercial%20Ltd%20Ag%20Rice%20Con%202008.pdf,https://www.dropbox.com/s/qi5uq4jf2skbgv6/ADA%20Commercial%20Inc._Liberia.xlsx,Y,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,SECOND BATCH - 18 September 2015,,,,,,,,,,,,,,,
,"Liberia, Sun Yeun Corporation, Timber Sale Contract, Timber, TSC Area A-16, 21 July 2010        ",Sun Yeun Corporation,https://www.dropbox.com/s/uq43y5csirm2cf5/Sun%20Yeun%20-%20A-16.pdf,https://www.dropbox.com/s/gqi90h8iv1plzfw/Sun%20Yeun%20Corporation%20A-16_Liberia.xlsm,Y,,,,,,,,,,,,,
,"Liberia, Liberia Forest Products Incorporated, Investment Agreement, Oil palm, Butaw Oil Palm Plantation, 21 December 2007        ",Liberia Forest Products Incorporated,https://www.dropbox.com/s/jim90i6abg239kr/Liberia_LIBERIA%20FOREST_PRODUCTS_INC.pdf,https://www.dropbox.com/s/5drj874v0fs85cb/Liberia%20Forest%20Products-Liberia.xlsx,Limited,,,,,,,,,,,,,
,"Liberia, Cavalla Rubber Corporation (Liberia) Inc, Concession Agreement, Rubber and oil palm products, Maryland County, 21 January 2011	",Cavalla Rubber Corporation (Liberia) Inc.,https://www.dropbox.com/s/gqug0rku35s9ti3/Cavalla%20Rubber%20Corporation.pdf,https://www.dropbox.com/s/zjhjpp9pnwzhhzd/Cavalla%20Rubber_Liberia.xlsx,Limited,,,,,,,,,,,,,
,"Liberia, Bargor & Bargor Enterprise, Contract to Manage Timber Sale Area, Timber, TSC A-7, 27 June 2008","Bargor & Bargor Enterprise, Inc.",https://www.dropbox.com/s/b7fdq5l2erqoc7l/Bargor%20and%20Bargor%20-%20A-7.pdf,https://www.dropbox.com/s/df8bcjxn9mrkcas/Bargor%20%26%20Bargor%20Enterprise%2C%20Inc_Liberia.xlsm,Y,,,,,,,,,,,,,
,"Liberia, Bassa Logging Timber Corporation, Timber Sale Contract, Timber, Forest Area TSC A-11, 21 July 2010",Bassa Logging Timber Corporation,https://www.dropbox.com/s/c5wbe143ssb8c2k/Bassa%20Logging%20Timber%20Corp%20-%20A-11.pdf,https://www.dropbox.com/s/29rl37t64gnzf9z/Bassa%20Logging%20Timber%20Corp_Liberia.xlsm,Y,,,,,,,,,,,,,
,"Liberia, International Consultant Capital, Forest Management Contract, Contract Area 'K' in Nimba, 2009	",International Consultant Capital,https://www.dropbox.com/s/24jeymapdcn5uhu/ICC%202009.pdf,https://www.dropbox.com/s/1xxzrds072ticvb/International%20Consultant%20Capital_Liberia_Brief.xlsx,Limited,,,,,,,,,,,,,
,"DRC, Bego Congo, Contrat de concession forestière et avenant N. 1, 24 octobre 2011",Bego Congo,https://www.dropbox.com/s/7rgbjx0gg0kc1n6/Bego%20Congo_Contract%20-21_2011.pdf,https://www.dropbox.com/s/ff37wxi0x0vy2tu/bego%20congo_drc.xlsx,Limited,,,,,,,,,,,,,
,"DRC, Bakri Bois Corporation, Contrat de concession forestière et avenant N. 1, 8 avril 2011",Bakri Bois Corporation,https://www.dropbox.com/s/sdwc5oekpv6s0s1/Bakri%20Bois%20Corporation_Contract%20004_2011.pdf,https://www.dropbox.com/s/cjb0gpwx8s6qfbo/Bakri%20Bois%20Corporation_DRC.xlsx,Limited,,,,,,,,,,,,,
,"DRC, Compagnie des Bois, Contrat de concession forestière, 24 octobre 2011",Compagnie des Bois,https://www.dropbox.com/s/en9hhckzf8ow1xh/Compagnie%20des%20Bois_Contract%20021_2011.pdf,https://www.dropbox.com/s/75nkygkimq5sps1/Compagnie%20des%20Bois_DRC.xlsx,Limited,,,,,,,,,,,,,
,"DRC, Industrie de Transformation de Bois, Contrat de concession forestière N.  005, 4 août 2011",Industrie de Transformation de Bois ,https://www.dropbox.com/s/2n0ba3pdxirku4w/ITB_Contract%20005_2011.pdf,https://www.dropbox.com/s/f9ud5re5ph8xkj1/Industrie%20de%20Transformation%20des%20Bois_DRC_005.xlsx,Limited,,,,,,,,,,,,,
,"DRC, Industrie de Transformation de Bois, Contrat de concession forestière N.  006, 4 août 2011",Industrie de Transformation de Bois ,https://www.dropbox.com/s/8brlbx9f3nh8qkm/ITB_Contract%20006_2011.pdf,https://www.dropbox.com/s/zpi6zm60p3r5jjz/Industrie%20de%20Transformation%20des%20Bois_DRC_006.xlsx,Limited,,,,,,,,,,,,,
,"DRC, Industrie de Transformation des Bois, Contrat de concession forestière N. 012, 12 août 2011",Industrie de Transformation de Bois ,https://www.dropbox.com/s/nte27fuexpgdm52/ITB_Contract%20012_2011.pdf,https://www.dropbox.com/s/utwgaozlgq4h7y2/Industrie%20de%20Transformation%20des%20Bois_DRC_012.xlsx,Limited,,,,,,,,,,,,,
,"DRC, Industrie de Transformation des Bois, Contrat de concession forestière N. 013, 12 août 2011",Industrie de Transformation de Bois ,https://www.dropbox.com/s/6u57ppzccni7wo4/ITB_contract_013_2011.pdf,https://www.dropbox.com/s/3dldh7w6u9wa3zf/Industrie%20de%20Transformation%20des%20Bois_DRC_013.xlsm,Y,,,,,,,,,,,,,
,"Liberia, Liberian Agricultural Corporation, Concession, 1959",Liberian Agricultural Corporation,https://www.dropbox.com/s/8tir2ec20tn6mfo/Liberian%20Agricultural%20Corporation.pdf,https://www.dropbox.com/s/nk1cb7yyrtdpf8x/Liberian%20Agricultural%20Corporation_Liberia.xlsx,Limited,,,,,,,,,,,,,
,"Liberia, Morris American Rubber Company, Investment Incentive Contract, 10 August 2007",Morris American Rubber Company,https://www.dropbox.com/s/k7vj4i9n9qbblg4/Morris%20American%20Rubber%20Company.pdf,https://www.dropbox.com/s/0upb298ng3tdi8o/Morris%20American_Liberia.xlsx,Limited,,,,,,,,,,,,,
,"Liberia, Buchanan Renewables (Monrovia) Power Inc., Concession Agreement, 2009",Buchanan Renewables (Monrovia) Power Inc.,https://www.dropbox.com/s/y7d3poloue5pxia/BR%20%20CA%20Final%20Clean%20Version%2016%20Jan09.pdf,https://www.dropbox.com/s/to7axb08209byif/Buchanan%20Renewables%20%28Monrovia%29%20Power%20CA_Liberia%20%281%29.xlsm,Y,,,,,,,,,,,,,
,"Liberia, Salala Rubber Corporation, Concession, 1 August 1959        ",Salala Rubber Corporation,https://www.dropbox.com/s/b41rferes5n31xi/Salala%20Rubber%20Corporation.pdf,https://www.dropbox.com/s/gkszrat9ior882b/Salala_Liberia.xlsx,Limited,,,,,,,,,,,,,
,"Liberia, The Liberia Company, Statement of Understanding, 17 December 1949",The Liberia Company,https://www.dropbox.com/s/qspypjhk811vurx/The%20Liberia%20Company.pdf,https://www.dropbox.com/s/4ay3wecca2sqdu1/The%20Liberia%20Company_Liberia.xlsx,Limited,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Contracts that need to be re-uploaded (please delete earlier version already uploaded),,,,,,,,,,,,,,,
,,CLC Industries PLC,https://www.dropbox.com/s/d57m9c9hw3l1a2t/CLC%20%28Spentex%29%20%28Indian%20invest%20-%20Cotton%202009%29.pdf,https://www.dropbox.com/s/fvrdsxexs6vrta3/CLC%20Industries_Ethiopia.xlsx,,,,,,,,,,,,,,
,,Global Agricultural Development,https://www.dropbox.com/s/aizric6f0abiiac/Global_Agricultural_Development_Cambodia_Co.Ltd_Cambodia%20%28English%20version%29.pdf,https://www.dropbox.com/s/tb2b2hh5mk346im/Global%20Agricultural%20Development%20%28Cambodia%29%20Co%20Ltd_Cambodia.xlsm,,,,,,,,,,,,,,
,,"Thunder Bird International Liberia, Inc.",https://www.dropbox.com/s/1xk5n841p0whzrl/Thunder%20Bird%20Int%27l%20Liberia%20-%20A-8.pdf,https://www.dropbox.com/s/2be9dckugyd71rg/Thunder%20Bird%20International_Liberia.xlsm,Y,,,,,,,,,,,,,
,,Heng Yue (Cambodia) International Company Ltd,https://www.dropbox.com/s/p080hysuhx6s06k/Heng%20Yue%20Contract.pdf?dl=0,https://www.dropbox.com/s/glywd3e8o0s5crn/Heng%20Yue_Cambodia.xlsx,Limited,,,,,,,,,,,,,
,,ADA Commercial Inc.,https://www.dropbox.com/s/nptm6vrxs4mpesv/ADA%20Commercial%20Ltd%20Ag%20Rice%20Con%202008.pdf,https://www.dropbox.com/s/qi5uq4jf2skbgv6/ADA%20Commercial%20Inc._Liberia.xlsx,,,,,,,,,,,,,,
